timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
2022-10-11T17:17:21,codecarbon,0a687af9-a32b-4f96-926d-9f64b52766b1,0.0026757717132568,4.701472730210475e-10,0.0001757053005276,12.5,0.0,2.928218364715576,6.925728585984972e-09,0,1.622403650761346e-09,8.548132236746318e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-11T17:17:21,codecarbon,ed22e127-226d-476e-845e-a7a472244afc,3.212618112564087,7.570075248798196e-07,0.0002356357022078,12.5,0.0,2.928218364715576,1.1151460309823356e-05,0,2.6123128698097274e-06,1.3763773179633082e-05,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-11T17:29:18,codecarbon,aedb0a5b-a55e-4200-9786-414f9789ff14,0.0029921531677246,4.70990233706598e-10,0.0001574084638403,12.5,0.0,2.928218364715576,6.9381462203131795e-09,0,1.6253125743522411e-09,8.56345879466542e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-11T17:29:18,codecarbon,06b8b6e8-59ce-41b0-83bf-f2b5a2fb7788,3.3990604877471924,8.009556736026495e-07,0.0002356403119302,12.5,0.0,2.928218364715576,1.1798859470420414e-05,0,2.763970958718668e-06,1.4562830429139084e-05,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-11T17:31:14,codecarbon,ff0eabcf-c033-4cf2-beba-e1e88fef932a,0.0031826496124267,4.69641496609717e-10,0.0001475630539962,12.5,0.0,2.928218364715576,6.918278005388048e-09,0,1.62065829660681e-09,8.538936301994858e-09,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-11T17:31:14,codecarbon,05b4f8a2-e2b7-4f4b-9583-30119fece471,3.301088333129883,7.778010047024315e-07,0.0002356195673094,12.5,0.0,2.928218364715576,1.1457768579324088e-05,0,2.6840678698110307e-06,1.4141836449135118e-05,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-13T14:13:50,codecarbon,5829ce95-ac4a-497f-8f44-d0a4dfcb95bb,0.0107343196868896,0.0,0.0,12.5,0.0,2.928218364715576,0.0,0,0.0,0.0,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-13T14:13:50,codecarbon,00f0c737-d972-4496-b130-26716aa366a4,3.2897696495056152,7.739903166273317e-07,0.0002352718880313,12.5,0.0,2.928218364715576,1.1401633421579997e-05,0,2.6709177898260348e-06,1.4072551211406033e-05,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-13T14:17:37,codecarbon,bd8b3b80-5597-4130-942e-b95c594373d3,0.0061843395233154,0.0,0.0,12.5,0.0,2.928218364715576,0.0,0,0.0,0.0,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
2022-10-13T14:17:37,codecarbon,18093570-1ab9-49ee-a339-0c1717b04c26,3.3379855155944824,7.862749512899967e-07,0.0002355537337165,12.5,0.0,2.928218364715576,1.1582598090171817e-05,0,2.713310115100853e-06,1.4295908205272668e-05,France,FRA,,,,Windows-10-10.0.19041-SP0,3.9.4,8,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,,,,,7.808582305908203,machine,N
